Program Name, Asserts Before, Asserts After, Asserts Removed, Removal Percentage
RingBufferAuto.dfy, FAILED
TraitExample.dfy, 1, 0, 1, 100%
TraitOverride1.dfy, 4, 0, 4, 100%
Traits-Fields.dfy, 2, 0, 2, 100%
TraitsMultipleInheritance.dfy, 1, 0, 1, 100%
Tree.dfy, 0, 0, 0, NaN%
TreeBarrier.dfy, 0, 0, 0, NaN%
TreeDatatype.dfy, 0, 0, 0, NaN%
TreeFill.dfy, 0, 0, 0, NaN%
TriggerInPredicate.dfy, 0, 0, 0, NaN%
triggers-prevent-some-inlining.dfy, 0, 0, 0, NaN%
TuringFactorial.dfy, 0, 0, 0, NaN%
Two-Way-Sort.dfy, 0, 0, 0, NaN%
Types.dfy, 0, 0, 0, NaN%
UnboundedStack.dfy, 0, 0, 0, NaN%
useless-casts-in-decreases-clauses.dfy, 0, 0, 0, NaN%
useless-triggers-are-removed.dfy, 0, 0, 0, NaN%
we-should-always-print-tooltips.dfy, 0, 0, 0, NaN%
wf-checks-use-the-original-quantifier.dfy, 0, 0, 0, NaN%
WhileLoop.dfy, 0, 0, 0, NaN%
WideTrees.dfy, 0, 0, 0, NaN%
Zip.dfy, 0, 0, 0, NaN%
Total, 340, 44, 296, 87.05882%
