Program Name, Lemma Calls Before, Lemma Calls After, Lemma Calls Removed, Removal Percentage
Problem1.dfy, FAILED
Snapshots1.v0.dfy, 0, 0, 0, NaN%
Snapshots2.run.dfy, 0, 0, 0, NaN%
Snapshots2.v0.dfy, 0, 0, 0, NaN%
Snapshots3.run.dfy, 0, 0, 0, NaN%
Snapshots4.run.dfy, 0, 0, 0, NaN%
Snapshots4.v0.dfy, 0, 0, 0, NaN%
Snapshots5.run.dfy, 0, 0, 0, NaN%
Snapshots5.v0.dfy, 0, 0, 0, NaN%
Snapshots6.run.dfy, 0, 0, 0, NaN%
Snapshots7.run.dfy, 0, 0, 0, NaN%
Snapshots8.run.dfy, 0, 0, 0, NaN%
some-terms-do-not-look-like-the-triggers-they-match.dfy, 0, 0, 0, NaN%
SparseArray.dfy, 0, 0, 0, NaN%
Streams.dfy, 21, 4, 17, 80.95238%
SumOfCubes.dfy, 8, 8, 0, 0%
suppressing-warnings-behaves-properly.dfy, 0, 0, 0, NaN%
TerminationDemos.dfy, 0, 0, 0, NaN%
TraitExample.dfy, 0, 0, 0, NaN%
TraitOverride1.dfy, 0, 0, 0, NaN%
Traits-Fields.dfy, 0, 0, 0, NaN%
TraitsMultipleInheritance.dfy, 0, 0, 0, NaN%
Tree.dfy, 3, 3, 0, 0%
TreeBarrier.dfy, 0, 0, 0, NaN%
TreeDatatype.dfy, 0, 0, 0, NaN%
TreeFill.dfy, 0, 0, 0, NaN%
TriggerInPredicate.dfy, 0, 0, 0, NaN%
triggers-prevent-some-inlining.dfy, 0, 0, 0, NaN%
TuringFactorial.dfy, 0, 0, 0, NaN%
Two-Way-Sort.dfy, 0, 0, 0, NaN%
Types.dfy, 0, 0, 0, NaN%
UnboundedStack.dfy, 0, 0, 0, NaN%
useless-casts-in-decreases-clauses.dfy, 0, 0, 0, NaN%
useless-triggers-are-removed.dfy, 0, 0, 0, NaN%
we-should-always-print-tooltips.dfy, 0, 0, 0, NaN%
wf-checks-use-the-original-quantifier.dfy, 0, 0, 0, NaN%
WhileLoop.dfy, 0, 0, 0, NaN%
WideTrees.dfy, 2, 2, 0, 0%
Zip.dfy, 7, 7, 0, 0%
Total, 275, 219, 56, 20.36364%
