Program Name, Decreases Before, Decreases After, Decreases Removed, Removal Percentage
Problem1.dfy, FAILED
SimpleCoinduction.dfy, 0, 0, 0, NaN%
SimpleInduction.dfy, 4, 0, 4, 100%
Snapshots0.run.dfy, 0, 0, 0, NaN%
Snapshots0.v0.dfy, 0, 0, 0, NaN%
Snapshots1.run.dfy, 0, 0, 0, NaN%
Snapshots1.v0.dfy, 0, 0, 0, NaN%
Snapshots2.run.dfy, 0, 0, 0, NaN%
Snapshots2.v0.dfy, 0, 0, 0, NaN%
Snapshots3.run.dfy, 0, 0, 0, NaN%
Snapshots4.run.dfy, 0, 0, 0, NaN%
Snapshots4.v0.dfy, 0, 0, 0, NaN%
Snapshots5.run.dfy, 0, 0, 0, NaN%
Snapshots5.v0.dfy, 0, 0, 0, NaN%
Snapshots6.run.dfy, 0, 0, 0, NaN%
Snapshots7.run.dfy, 0, 0, 0, NaN%
Snapshots8.run.dfy, 0, 0, 0, NaN%
some-terms-do-not-look-like-the-triggers-they-match.dfy, 0, 0, 0, NaN%
SparseArray.dfy, 0, 0, 0, NaN%
Streams.dfy, 0, 0, 0, NaN%
SumOfCubes.dfy, 1, 1, 0, 0%
suppressing-warnings-behaves-properly.dfy, 0, 0, 0, NaN%
TerminationDemos.dfy, 2, 2, 0, 0%
TraitExample.dfy, 0, 0, 0, NaN%
TraitOverride1.dfy, 0, 0, 0, NaN%
Traits-Fields.dfy, 0, 0, 0, NaN%
TraitsMultipleInheritance.dfy, 0, 0, 0, NaN%
Tree.dfy, 3, 3, 0, 0%
TreeBarrier.dfy, 4, 4, 0, 0%
TreeDatatype.dfy, 0, 0, 0, NaN%
TreeFill.dfy, 0, 0, 0, NaN%
TriggerInPredicate.dfy, 0, 0, 0, NaN%
triggers-prevent-some-inlining.dfy, 0, 0, 0, NaN%
TuringFactorial.dfy, 0, 0, 0, NaN%
Two-Way-Sort.dfy, 0, 0, 0, NaN%
Types.dfy, 0, 0, 0, NaN%
UnboundedStack.dfy, 0, 0, 0, NaN%
useless-casts-in-decreases-clauses.dfy, 0, 0, 0, NaN%
useless-triggers-are-removed.dfy, 0, 0, 0, NaN%
we-should-always-print-tooltips.dfy, 0, 0, 0, NaN%
wf-checks-use-the-original-quantifier.dfy, 0, 0, 0, NaN%
WhileLoop.dfy, 0, 0, 0, NaN%
WideTrees.dfy, 2, 0, 2, 100%
Zip.dfy, 0, 0, 0, NaN%
Total, 102, 82, 20, 19.60784%
